Opening,Closing,Job Title,Organisation,Location,Category,Salary per month,Fraction,Contract Type
2013-10-06 00:00:00,2013-12-05 00:00:00,Aviation loans administration,cer Financial,London,Finance and Accounting,2800,,Contract
2012-10-03 12:00:00,2012-11-02 12:00:00,"Payroll Analyst  City upto **** , ****",LMA Recruitment Ltd,London,Finance and Accounting,2917,,Permanent
2012-01-01 00:00:00,2012-01-31 00:00:00,Investment Team Assistant for leading Private Equity firm,Austin Andrew Ltd,London,Finance and Accounting,3750,,Permanent
2012-10-14 00:00:00,2012-11-13 00:00:00,SWAPS COLLATERAL CONTROL OFFICER,Brian Durham Recruitment Services Limited,City,Finance and Accounting,3333,,Permanent
2012-11-17 12:00:00,2013-01-16 12:00:00,Loans Administration  Temp,cer Financial,London,Finance and Accounting,3280,,Contract
2012-11-01 12:00:00,2012-12-31 12:00:00,Oversight and Compliance Manager  Global Custody Operations,Citifocus Limited,The City,Finance and Accounting,3750,,Permanent
2012-03-22 00:00:00,2012-04-21 00:00:00,ALM Actuary,Reed Insurance,South East England,Finance and Accounting,6250,,Permanent
2013-03-09 12:00:00,2013-05-08 12:00:00,SUPPORT ANALYST  Front Office,Newside Consulting Limited,London,Finance and Accounting,4667,,Permanent
2013-11-26 12:00:00,2013-12-26 12:00:00,Forex Sales Manager,LMA Recruitment Ltd,London,Finance and Accounting,4583,,Permanent
2013-06-21 15:00:00,2013-09-19 15:00:00,Management Accountant  Commodity Trading,LMA Recruitment Ltd,London,Finance and Accounting,4792,,Permanent
2013-09-13 12:00:00,2013-11-12 12:00:00,CFD Sales Trader,LMA Recruitment Ltd,London,Finance and Accounting,4167,,Permanent
2013-02-28 12:00:00,2013-03-30 12:00:00,Compliance Monitoring Asset Management London,MDM Consultants Limited,London,Finance and Accounting,3958,,Contract
2013-05-18 00:00:00,2013-08-16 00:00:00,Credit Trade Finance Manager,LMA Recruitment Ltd,London,Finance and Accounting,3750,,Permanent
2013-10-03 15:00:00,2013-12-02 15:00:00,Sales Support Executive,Eximius Operations Ltd,London,Finance and Accounting,3208,,Permanent
2013-02-28 15:00:00,2013-03-30 15:00:00,Accounts Receivable / Sales ledger Assistant,Next Employment Limited,London,Finance and Accounting,2500,,Contract
2012-01-25 15:00:00,2012-02-24 15:00:00,Internal Resourcing Coordinator,Capco,London,Finance and Accounting,2292,,Permanent
2012-09-01 12:00:00,2012-10-31 12:00:00,Cheque Processing Clerk,Venn Group Limited,London,Finance and Accounting,2000,,Contract
2013-04-19 12:00:00,2013-06-18 12:00:00,Cashier  Fluent Mandarin,Prime Personnel Services Ltd,West End,Finance and Accounting,1667,,Contract
2013-05-23 15:00:00,2013-06-22 15:00:00,Regulatory control change project manager,cer Financial,London,Finance and Accounting,7917,,Permanent
2012-09-05 00:00:00,2012-12-04 00:00:00,"VP, Regulatory Risk",LMA Recruitment Ltd,London,Finance and Accounting,7083,,Permanent
2012-01-13 12:00:00,2012-03-13 12:00:00,Transaction Reporting Specialist,Venn Group Limited,London,Finance and Accounting,6700,,Contract
2013-08-18 00:00:00,2013-11-16 00:00:00,Compliance Monitoring Manager  Banking,C.K.R. Recruitment Limited,The City,Finance and Accounting,6250,,Permanent
2012-10-17 00:00:00,2013-01-15 00:00:00,Model Validation Quantitative Analyst,LMA Recruitment Ltd,London,Finance and Accounting,6667,,Permanent
2012-03-09 00:00:00,2012-04-08 00:00:00,VP Operational Risk,Black Swan Associates Limited,The City,Finance and Accounting,5833,,Permanent
2013-08-29 15:00:00,2013-11-27 15:00:00,Risk Review Compliance Officer,Oliver James Associates Limited,The City,Finance and Accounting,5833,,Permanent
2013-08-09 00:00:00,2013-08-23 00:00:00,Middle Office Analyst FTC,Austin Andrew Ltd,London,Finance and Accounting,6400,,Contract
2012-03-14 12:00:00,2012-04-13 12:00:00,Financial Controller / Group Accountant,Walker Hamill Ltd,London,Finance and Accounting,5208,,Contract
2013-11-24 15:00:00,2014-01-23 15:00:00,Trade Control VP,Badenoch Clark Ltd,UK,Finance and Accounting,4583,,Permanent
2013-01-21 15:00:00,2013-04-21 15:00:00,Business Partner  Treasury,Ambition Europe Limited,The City,Finance and Accounting,4792,,Permanent
2012-05-11 00:00:00,2012-06-10 00:00:00,Business Analyst  Change,Procura Ltd,West London,Finance and Accounting,4167,,Permanent
2012-05-22 12:00:00,2012-06-21 12:00:00,Senior Accountant  Group Reporting,Harrison Holgate,The City,Finance and Accounting,4375,,Permanent
2012-04-20 00:00:00,2012-05-20 00:00:00,Product Control Analyst  Oil,Insight Professional Solutions Ltd,London,Finance and Accounting,4375,,Permanent
2012-02-02 12:00:00,2012-04-02 12:00:00,Portfolio / Performance Analyst,Ambition Europe Limited,The City,Finance and Accounting,3958,,Permanent
2013-04-16 12:00:00,2013-07-15 12:00:00,Risk Controller,cer Financial,London,Finance and Accounting,3750,,Permanent
2013-04-18 00:00:00,2013-07-17 00:00:00,Project Manager  Private Client,Twenty Recruitment Ltd,London,Finance and Accounting,4167,,Permanent
2012-09-12 15:00:00,2012-10-12 15:00:00,Ops Process Management Analyst,Twenty Recruitment Ltd,London,Finance and Accounting,2083,,Permanent
2013-01-15 15:00:00,2013-03-16 15:00:00,Transactional Management Team Leader,Sharon Gay Associates Limited,London,Finance and Accounting,3958,,Permanent
2012-10-21 00:00:00,2012-11-20 00:00:00,Oversight and Compliance Manager,Randstad Financial Professional Ltd,London,Finance and Accounting,3750,,Permanent
2013-01-23 00:00:00,2013-02-22 00:00:00,Fund Accountant  London,Morgan McKinley Group Limited,The City,Finance and Accounting,3542,,Contract
2013-05-11 00:00:00,2013-08-09 00:00:00,Voluntary Corporate Actions,Charles Levick Limited,London,Finance and Accounting,3333,,Permanent
2012-04-10 15:00:00,2012-04-24 15:00:00,Loans Documentation Analyst,Hill Newton Recruitment Limited,London,Finance and Accounting,4000,,Contract
2012-09-06 00:00:00,2012-10-06 00:00:00,Regulatory Accountant,Kennedy Pearce Consulting Ltd,London,Finance and Accounting,3208,,Permanent
2012-04-24 12:00:00,2012-05-24 12:00:00,DO YOU HAVE 2 YEARS CURRENT BUY SIDE OPERATIONS EXPERIENCE?,Maldon Partners Ltd,London,Finance and Accounting,3125,,Permanent
2012-05-09 15:00:00,2012-07-08 15:00:00,Trade Compliance Analyst,Saul Partners,London,Finance and Accounting,3333,,Permanent
2012-04-15 15:00:00,2012-06-14 15:00:00,Compliance Assistant,Hays Financial Markets,Berkshire,Finance and Accounting,2917,,Permanent
2013-10-13 15:00:00,2013-11-12 15:00:00,Shares and Market Options Sales Consultant,Dante Recruitment Ltd,London,Finance and Accounting,2667,,Permanent
2012-12-13 00:00:00,2013-01-12 00:00:00,Operations Analyst,Badenoch Clark Ltd,The City,Finance and Accounting,3125,,Permanent
